source_file,cp_id,arrival,departure,duration_min,energy_kWh,avg_kW,peak_kW,n_steps
profile_3.csv,profile_3,2025-01-07 08:00:00+01:00,2025-01-07 09:00:00+01:00,60.0,10.400000000000006,10.400000000000006,11.0,4
profile_3.csv,profile_3,2025-01-07 19:30:00+01:00,2025-01-07 21:30:00+01:00,120.0,21.200000000000003,10.600000000000001,11.0,8
profile_3.csv,profile_3,2025-01-09 19:30:00+01:00,2025-01-09 21:00:00+01:00,90.0,14.700000000000003,9.800000000000002,11.0,6
profile_3.csv,profile_3,2025-01-11 11:00:00+01:00,2025-01-11 14:45:00+01:00,225.0,37.0,9.866666666666667,11.0,15
profile_3.csv,profile_3,2025-01-12 11:00:00+01:00,2025-01-12 13:30:00+01:00,150.0,24.53125,9.8125,11.0,10
profile_3.csv,profile_3,2025-01-13 09:30:00+01:00,2025-01-13 12:45:00+01:00,195.0,35.0,10.76923076923077,11.0,13
profile_3.csv,profile_3,2025-01-14 17:00:00+01:00,2025-01-14 19:45:00+01:00,165.0,30.099999999999994,10.945454545454544,11.0,11
profile_3.csv,profile_3,2025-01-15 19:15:00+01:00,2025-01-16 01:00:00+01:00,345.0,60.599999999999994,10.539130434782608,11.0,23
profile_3.csv,profile_3,2025-01-16 09:45:00+01:00,2025-01-16 12:15:00+01:00,150.0,26.599999999999994,10.639999999999997,11.0,10
profile_3.csv,profile_3,2025-01-20 09:00:00+01:00,2025-01-20 09:45:00+01:00,45.0,7.5,10.0,11.0,3
profile_3.csv,profile_3,2025-01-21 15:45:00+01:00,2025-01-21 17:30:00+01:00,105.0,16.400000000000006,9.371428571428575,11.0,7
profile_3.csv,profile_3,2025-01-22 00:30:00+01:00,2025-01-22 01:00:00+01:00,30.0,4.900000000000006,9.800000000000011,11.0,2
profile_3.csv,profile_3,2025-01-22 09:00:00+01:00,2025-01-22 09:30:00+01:00,30.0,4.900000000000006,9.800000000000011,11.0,2
profile_3.csv,profile_3,2025-01-22 20:15:00+01:00,2025-01-22 20:30:00+01:00,15.0,1.4000000000000057,5.600000000000023,5.600000000000023,1
profile_3.csv,profile_3,2025-01-24 00:00:00+01:00,2025-01-24 01:00:00+01:00,60.0,6.700000000000006,6.700000000000006,8.625,4
profile_3.csv,profile_3,2025-01-24 17:00:00+01:00,2025-01-24 17:15:00+01:00,15.0,1.0999999999999943,4.399999999999977,4.399999999999977,1
profile_3.csv,profile_3,2025-01-24 20:30:00+01:00,2025-01-24 20:45:00+01:00,15.0,1.0999999999999943,4.399999999999977,4.399999999999977,1
profile_3.csv,profile_3,2025-01-25 10:30:00+01:00,2025-01-25 11:00:00+01:00,30.0,4.599999999999994,9.199999999999989,11.0,2
profile_3.csv,profile_3,2025-01-25 12:30:00+01:00,2025-01-25 12:45:00+01:00,15.0,1.5999999999999943,6.399999999999977,6.399999999999977,1
profile_3.csv,profile_3,2025-01-25 13:15:00+01:00,2025-01-25 13:45:00+01:00,30.0,5.099999999999994,10.199999999999989,11.0,2
profile_3.csv,profile_3,2025-01-26 15:30:00+01:00,2025-01-26 15:45:00+01:00,15.0,1.2000000000000028,4.800000000000011,4.800000000000011,1
profile_3.csv,profile_3,2025-01-27 21:45:00+01:00,2025-01-27 22:00:00+01:00,15.0,2.700000000000003,10.800000000000011,10.800000000000011,1
profile_3.csv,profile_3,2025-01-28 02:00:00+01:00,2025-01-28 05:15:00+01:00,195.0,34.3,10.553846153846154,11.0,13
profile_3.csv,profile_3,2025-01-28 18:00:00+01:00,2025-01-28 18:15:00+01:00,15.0,2.400000000000006,9.600000000000025,9.600000000000025,1
profile_3.csv,profile_3,2025-01-30 06:15:00+01:00,2025-01-30 06:30:00+01:00,15.0,2.599999999999994,10.399999999999975,10.399999999999975,1
profile_3.csv,profile_3,2025-02-01 17:45:00+01:00,2025-02-01 22:00:00+01:00,255.0,46.400000000000006,10.917647058823531,11.0,17
profile_3.csv,profile_3,2025-02-02 20:15:00+01:00,2025-02-03 00:15:00+01:00,240.0,38.7,9.675,11.0,16
profile_3.csv,profile_3,2025-02-03 15:30:00+01:00,2025-02-03 18:00:00+01:00,150.0,26.200000000000003,10.48,11.0,10
profile_3.csv,profile_3,2025-02-04 17:45:00+01:00,2025-02-04 23:15:00+01:00,330.0,58.2,10.581818181818182,11.0,22
