source_file,cp_id,arrival,departure,duration_min,energy_kWh,avg_kW,peak_kW,n_steps
profile_1.csv,profile_1,2025-01-11 09:30:00+01:00,2025-01-11 12:30:00+01:00,180.0,29.42517857142857,9.808392857142858,11.0,12
profile_1.csv,profile_1,2025-01-11 13:15:00+01:00,2025-01-11 13:45:00+01:00,30.0,3.5,7.0,8.625,2
profile_1.csv,profile_1,2025-01-12 12:15:00+01:00,2025-01-12 15:45:00+01:00,210.0,35.53125,10.151785714285714,11.0,14
profile_1.csv,profile_1,2025-01-12 19:15:00+01:00,2025-01-12 23:15:00+01:00,240.0,42.5,10.625,11.0,16
profile_1.csv,profile_1,2025-01-15 19:15:00+01:00,2025-01-16 01:00:00+01:00,345.0,60.599999999999994,10.539130434782608,11.0,23
profile_1.csv,profile_1,2025-01-16 15:30:00+01:00,2025-01-16 16:15:00+01:00,45.0,7.5,10.0,11.0,3
profile_1.csv,profile_1,2025-01-20 09:00:00+01:00,2025-01-20 09:45:00+01:00,45.0,7.5,10.0,11.0,3
profile_1.csv,profile_1,2025-01-21 15:45:00+01:00,2025-01-21 17:30:00+01:00,105.0,16.400000000000006,9.371428571428575,11.0,7
profile_1.csv,profile_1,2025-01-22 00:30:00+01:00,2025-01-22 01:00:00+01:00,30.0,4.900000000000006,9.800000000000011,11.0,2
profile_1.csv,profile_1,2025-01-22 09:00:00+01:00,2025-01-22 09:30:00+01:00,30.0,4.900000000000006,9.800000000000011,11.0,2
profile_1.csv,profile_1,2025-01-22 20:15:00+01:00,2025-01-22 20:30:00+01:00,15.0,1.4000000000000057,5.600000000000023,5.600000000000023,1
profile_1.csv,profile_1,2025-01-24 00:00:00+01:00,2025-01-24 01:00:00+01:00,60.0,6.700000000000006,6.700000000000006,8.625,4
profile_1.csv,profile_1,2025-01-24 17:00:00+01:00,2025-01-24 17:15:00+01:00,15.0,1.0999999999999943,4.399999999999977,4.399999999999977,1
profile_1.csv,profile_1,2025-01-24 20:30:00+01:00,2025-01-24 20:45:00+01:00,15.0,1.0999999999999943,4.399999999999977,4.399999999999977,1
profile_1.csv,profile_1,2025-01-25 10:30:00+01:00,2025-01-25 11:00:00+01:00,30.0,4.599999999999994,9.199999999999989,11.0,2
profile_1.csv,profile_1,2025-01-25 12:30:00+01:00,2025-01-25 12:45:00+01:00,15.0,1.5999999999999943,6.399999999999977,6.399999999999977,1
profile_1.csv,profile_1,2025-01-25 13:15:00+01:00,2025-01-25 13:45:00+01:00,30.0,5.099999999999994,10.199999999999989,11.0,2
profile_1.csv,profile_1,2025-01-26 15:30:00+01:00,2025-01-26 15:45:00+01:00,15.0,1.2000000000000028,4.800000000000011,4.800000000000011,1
profile_1.csv,profile_1,2025-01-27 21:45:00+01:00,2025-01-27 22:00:00+01:00,15.0,2.700000000000003,10.800000000000011,10.800000000000011,1
profile_1.csv,profile_1,2025-01-28 18:00:00+01:00,2025-01-28 18:15:00+01:00,15.0,2.400000000000006,9.600000000000025,9.600000000000025,1
